Shop_name,Start_time,End_time
broad,0:00:19.480000,0:00:19.480000
untry,0:00:18.560000,0:00:18.600000
metrosc,0:00:27.600000,0:00:27.600000
u,0:00:14.440000,0:00:14.560000
vico,0:00:21.240000,0:00:21.280000
9,0:00:21.960000,0:00:21.960000
gazma,0:00:21.880000,0:00:22.040000
nails,0:00:06.600000,0:00:07.120000
jicher,0:00:02.640000,0:00:02.640000
gaz,0:00:22.480000,0:00:21.840000
perrl,0:00:04.280000,0:00:04.840000
dad,0:00:19.320000,0:00:19.320000
or,0:00:21.680000,0:00:21.680000
imicc,0:00:21,0:00:21
559,0:00:22.520000,0:00:22.560000
gazn,0:00:22.320000,0:00:22.360000
na,0:00:06.600000,0:00:07.120000
carnon,0:00:22.520000,0:00:22.560000
t,0:00:09.360000,0:00:04.400000
s30,0:00:06.640000,0:00:07.080000
imco,0:00:20.480000,0:00:21.360000
maggie,0:00:09.360000,0:00:10.440000
ountry,0:00:18.680000,0:00:18.680000
